pickup_date,pickup_time,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
3,17,1,-73.98215485,40.76793671,-73.96463013,40.76560211,455
6,00,1,-73.98041534,40.73856354,-73.9994812,40.73115158,663
1,11,1,-73.97902679,40.7639389,-74.00533295,40.71008682,2124
4,19,1,-74.01004028,40.7199707,-74.01226807,40.70671844,429
3,13,1,-73.97305298,40.79320908,-73.97292328,40.78252029,435
1,22,6,-73.98285675,40.74219513,-73.99208069,40.74918365,443
6,22,4,-73.96901703,40.7578392,-73.95740509,40.76589584,341
5,07,1,-73.96927643,40.79777908,-73.92247009,40.76055908,1551
5,23,1,-73.9994812,40.73839951,-73.98578644,40.73281479,255
3,21,1,-73.98104858,40.74433899,-73.97299957,40.78998947,1225
5,22,1,-73.98265076,40.76383972,-74.00222778,40.73299026,1274
5,11,4,-73.99153137,40.74943924,-73.95654297,40.77062988,1128
2,09,2,-73.96298218,40.75667953,-73.98440552,40.7607193,1114
6,20,1,-73.95630646,40.76794052,-73.96611023,40.76300049,260
5,00,1,-73.99219513,40.72722626,-73.97465515,40.78306961,1414
5,15,1,-73.955513,40.76859283,-73.94876099,40.77154541,211
4,17,1,-73.99116516,40.75556183,-73.99929047,40.72535324,2316
4,08,1,-73.99425507,40.74580383,-73.99965668,40.7233429,731
6,09,1,-74.00398254,40.7130127,-73.97919464,40.74992371,1317
6,13,1,-73.98388672,40.73819733,-73.99120331,40.72787094,251
2,02,1,-73.98036957,40.7424202,-73.96285248,40.76063538,486
4,12,1,-73.97953796,40.75336075,-73.96399689,40.76345825,652
4,03,1,-73.99586487,40.75881195,-73.99332428,40.74032211,423
6,10,1,-73.99355316,40.74717331,-74.00614166,40.70438385,1163
6,08,1,-73.95523071,40.77713394,-73.78874969,40.64147186,2485
2,13,1,-73.95658112,40.77135849,-73.97496796,40.7327919,1283
2,21,1,-73.98376465,40.74987411,-73.95883179,40.80096054,1130
6,23,1,-73.95843506,40.71319199,-73.94953918,40.68025208,694
6,21,1,-73.99421692,40.71330643,-73.98284912,40.69229889,892
3,14,1,-73.9821167,40.75635147,-73.86569214,40.77098846,2331
5,10,1,-73.97093964,40.76166916,-73.99623871,40.7253685,1479
5,13,1,-73.99826813,40.72003937,-74.01036072,40.67213821,1048
5,19,2,-74.00550079,40.70658875,-73.98581696,40.74420166,1022
4,14,1,-73.99031067,40.75658035,-73.87091827,40.7739296,2269
1,12,1,-74.00899506,40.71258926,-73.99863434,40.72280884,707
3,07,1,-73.99456024,40.75052643,-73.97850037,40.75619125,526
1,15,3,-73.9515152,40.77024841,-73.95852661,40.76151657,553
6,23,1,-73.98806763,40.72808075,-73.98075104,40.72146988,277
5,14,2,-73.97812653,40.75834274,-73.99224854,40.73054123,1189
5,16,1,-73.97776794,40.77407837,-73.94714355,40.77599335,1523
4,21,2,-73.98854828,40.74597931,-73.97088623,40.79338455,1450
4,13,2,-73.97472382,40.75113678,-73.95444489,40.76411819,1102
3,14,1,-73.97509003,40.75876617,-73.95320129,40.76506805,1346
3,01,1,-73.97647095,40.73978043,-73.98066711,40.72996521,363
2,07,1,-73.97964478,40.73963165,-73.99472809,40.72349548,559
6,15,1,-74.0163269,40.70499039,-73.98210907,40.77375031,1478
1,16,1,-73.98513794,40.73219299,-73.98963928,40.72087479,348
2,08,1,-73.98165894,40.77897263,-73.96981049,40.79212952,375
5,21,3,-73.96616364,40.76691437,-73.99217987,40.72581863,1217
4,19,1,-73.96546936,40.76584625,-73.96095276,40.79692841,876
1,23,1,-73.99681854,40.75286102,-73.80900574,40.81687546,1557
5,13,1,-73.97725677,40.77424622,-73.99001312,40.73265457,1647
2,09,6,-73.97775269,40.75463104,-74.00167847,40.75642014,634
4,14,1,-73.96872711,40.78643799,-73.960495,40.77815247,365
5,09,1,-73.93488312,40.80101013,-73.98300171,40.72256851,819
4,11,3,-73.79289246,40.65787888,-73.80918884,40.69018173,3528
1,15,2,-73.98233795,40.76280975,-73.98285675,40.7487793,1228
4,11,1,-73.99485016,40.71878052,-73.9834137,40.7588501,2607
3,15,1,-73.99448395,40.74508667,-73.99899292,40.72270966,695
3,17,1,-73.95342255,40.76765823,-73.98031616,40.73778152,472
2,02,1,-73.95185089,40.71406937,-73.9679718,40.6887207,526
1,17,4,-73.9769516,40.75202179,-74.00121307,40.75161362,721
5,12,1,-74.00180054,40.72613525,-74.00715637,40.74080658,512
5,12,1,-73.99409485,40.7615509,-73.9806366,40.78963852,720
4,16,1,-74.00632477,40.73339081,-74.00000763,40.74325562,174
5,17,1,-74.00257111,40.73931122,-73.99188232,40.74499893,478
2,11,1,-73.94830322,40.77443695,-73.96370697,40.75548553,788
6,22,2,-74.00141144,40.76143265,-73.92462921,40.86402893,1003
